Sweeping 200 app_screens from dank-fresh-20260427.db (skip_existing=False, port=9225, out=/Users/mattpacione/declarative-build/audit/sprint-2-station-parity-20260427-205500/dank)
[warmup] bridge probe ok (port 9225)
[1/200] screen=  1 DRIFT   t= 20.8s parity=0.7704918032786885 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[2/200] screen=  2 DRIFT   t=  2.0s parity=0.9090909090909091 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[3/200] screen=  3 DRIFT   t=  1.7s parity=0.9036144578313253 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[4/200] screen=  4 DRIFT   t=  2.3s parity=0.7538461538461538 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[5/200] screen=  5 DRIFT   t=  1.9s parity=0.7704918032786885 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[6/200] screen=  6 DRIFT   t=  2.0s parity=0.7704918032786885 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[7/200] screen=  7 DRIFT   t=  1.9s parity=0.7704918032786885 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[8/200] screen=  8 DRIFT   t=  1.9s parity=0.7627118644067796 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[9/200] screen=  9 DRIFT   t=  2.4s parity=0.7627118644067796 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[10/200] screen= 10 DRIFT   t=  2.2s parity=0.8541666666666666 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[11/200] screen= 11 DRIFT   t=  2.5s parity=0.8703703703703703 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[12/200] screen= 12 DRIFT   t=  3.0s parity=0.8584070796460177 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[13/200] screen= 13 DRIFT   t=  2.9s parity=0.7974683544303798 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[14/200] screen= 14 DRIFT   t=  2.3s parity=0.7746478873239436 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[15/200] screen= 15 DRIFT   t=  2.5s parity=0.8315789473684211 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[16/200] screen= 16 DRIFT   t=  2.3s parity=0.8315789473684211 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[17/200] screen= 17 DRIFT   t=  2.7s parity=0.8688524590163934 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[18/200] screen= 18 DRIFT   t=  2.7s parity=0.8383838383838383 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[19/200] screen= 19 DRIFT   t=  2.4s parity=0.8415841584158416 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[20/200] screen= 20 DRIFT   t=  2.3s parity=0.8526315789473684 errs=14 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
