2026-04-16T15:44:34 | 01-login | start | begin | out_dir=/Users/mattpacione/declarative-build/experiments/00-vanilla-baseline/artefacts/01-login
2026-04-16T15:44:34 | 01-login | parse | fail | Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go
2026-04-16T15:47:02 | 01-login | start | begin | out_dir=/Users/mattpacione/declarative-build/experiments/00-vanilla-baseline/artefacts/01-login
2026-04-16T15:47:02 | 01-login | parse | ok | components=3 parse_ms=0 [substituted]
2026-04-16T15:47:02 | 01-login | compose | ok | elements=8 tokens=0 warnings=7
2026-04-16T15:47:03 | 01-login | render | fail | after=None errors=0 rc=0 elapsed_ms=244
2026-04-16T15:47:03 | 01-login | walk | fail | rc=1 elapsed_ms=135 stderr_tail='OXY_EXECUTE_RESULT","id":"walk_1776379623286","result":{"success":false,"error":"TypeError: object is not extensible"}}\n'
2026-04-16T15:47:03 | 01-login | done | ok | timings={"parse_ms": 0, "compose_ms": 8, "render_ms": 244, "walk_ms": 135}
2026-04-16T15:47:52 | 01-login | start | begin | out_dir=/Users/mattpacione/declarative-build/experiments/00-vanilla-baseline/artefacts/01-login
2026-04-16T15:47:52 | 01-login | parse | ok | components=3 parse_ms=0 [substituted]
2026-04-16T15:47:52 | 01-login | compose | ok | elements=8 tokens=0 warnings=7
2026-04-16T15:47:52 | 01-login | render | fail | after=None errors=0 rc=0 elapsed_ms=66
2026-04-16T15:47:52 | 01-login | walk | fail | rc=1 elapsed_ms=153 stderr_tail='OXY_EXECUTE_RESULT","id":"walk_1776379672618","result":{"success":false,"error":"TypeError: object is not extensible"}}\n'
2026-04-16T15:47:52 | 01-login | done | ok | timings={"parse_ms": 0, "compose_ms": 7, "render_ms": 66, "walk_ms": 153}
2026-04-16T15:47:52 | 02-profile-settings | start | begin | out_dir=/Users/mattpacione/declarative-build/experiments/00-vanilla-baseline/artefacts/02-profile-settings
2026-04-16T15:47:52 | 02-profile-settings | parse | ok | components=4 parse_ms=0 [substituted]
2026-04-16T15:47:52 | 02-profile-settings | compose | ok | elements=12 tokens=0 warnings=11
2026-04-16T15:47:52 | 02-profile-settings | render | fail | after=None errors=0 rc=0 elapsed_ms=118
2026-04-16T15:47:52 | 02-profile-settings | walk | fail | rc=1 elapsed_ms=105 stderr_tail='OXY_EXECUTE_RESULT","id":"walk_1776379672897","result":{"success":false,"error":"TypeError: object is not extensible"}}\n'
