2026-04-16T23:59:49+00:00 | _ | setup | ok | system_prompt_chars=1887 db=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-16T23:59:49+00:00 | 01-login | parse | start | len=57
2026-04-16T23:59:50+00:00 | 01-login | parse | ok | components=3 in_tokens=543 out_tokens=141
2026-04-16T23:59:50+00:00 | 01-login | compose | start | components=3
2026-04-16T23:59:50+00:00 | 01-login | compose | ok | elements=7 script_chars=3432 warnings=6
2026-04-16T23:59:50+00:00 | 01-login | render | start | 
2026-04-16T23:59:51+00:00 | 01-login | render | fail | errors=0 kinds=[]
2026-04-16T23:59:51+00:00 | 02-profile-settings | parse | start | len=89
2026-04-16T23:59:53+00:00 | 02-profile-settings | parse | ok | components=4 in_tokens=548 out_tokens=304
2026-04-16T23:59:53+00:00 | 02-profile-settings | compose | start | components=4
2026-04-16T23:59:53+00:00 | 02-profile-settings | compose | ok | elements=14 script_chars=4977 warnings=13
2026-04-16T23:59:53+00:00 | 02-profile-settings | render | start | 
2026-04-16T23:59:53+00:00 | 02-profile-settings | render | fail | errors=0 kinds=[]
2026-04-16T23:59:53+00:00 | 03-meme-feed | parse | start | len=56
2026-04-16T23:59:56+00:00 | 03-meme-feed | parse | ok | components=6 in_tokens=543 out_tokens=686
2026-04-16T23:59:56+00:00 | 03-meme-feed | compose | start | components=6
2026-04-16T23:59:56+00:00 | 03-meme-feed | compose | ok | elements=27 script_chars=8390 warnings=26
2026-04-16T23:59:56+00:00 | 03-meme-feed | render | start | 
2026-04-16T23:59:56+00:00 | 03-meme-feed | render | fail | errors=0 kinds=[]
2026-04-16T23:59:56+00:00 | 04-dashboard | parse | start | len=69
2026-04-16T23:59:59+00:00 | 04-dashboard | parse | ok | components=4 in_tokens=542 out_tokens=376
2026-04-16T23:59:59+00:00 | 04-dashboard | compose | start | components=4
2026-04-16T23:59:59+00:00 | 04-dashboard | compose | ok | elements=15 script_chars=5166 warnings=14
2026-04-16T23:59:59+00:00 | 04-dashboard | render | start | 
2026-04-17T00:00:00+00:00 | 04-dashboard | render | fail | errors=0 kinds=[]
2026-04-17T00:00:00+00:00 | 05-paywall | parse | start | len=59
2026-04-17T00:00:04+00:00 | 05-paywall | parse | ok | components=6 in_tokens=542 out_tokens=697
2026-04-17T00:00:04+00:00 | 05-paywall | compose | start | components=6
2026-04-17T00:00:04+00:00 | 05-paywall | compose | ok | elements=36 script_chars=12601 warnings=35
2026-04-17T00:00:04+00:00 | 05-paywall | render | start | 
2026-04-17T00:00:04+00:00 | 05-paywall | render | fail | errors=0 kinds=[]
2026-04-17T00:00:04+00:00 | 06-spa-minimal | parse | start | len=50
2026-04-17T00:00:09+00:00 | 06-spa-minimal | parse | ok | components=5 in_tokens=540 out_tokens=482
2026-04-17T00:00:09+00:00 | 06-spa-minimal | compose | start | components=5
2026-04-17T00:00:09+00:00 | 06-spa-minimal | compose | ok | elements=15 script_chars=6110 warnings=14
2026-04-17T00:00:09+00:00 | 06-spa-minimal | render | start | 
2026-04-17T00:00:09+00:00 | 06-spa-minimal | render | fail | errors=0 kinds=[]
2026-04-17T00:00:09+00:00 | 07-search | parse | start | len=15
2026-04-17T00:00:13+00:00 | 07-search | parse | ok | components=5 in_tokens=532 out_tokens=362
2026-04-17T00:00:13+00:00 | 07-search | compose | start | components=5
2026-04-17T00:00:13+00:00 | 07-search | compose | ok | elements=19 script_chars=6159 warnings=18
