2026-04-17T00:18:03+00:00 | _ | setup | ok | system_prompt_chars=1887 db=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-17T00:18:03+00:00 | 01-login | parse | start | len=57
2026-04-17T00:18:05+00:00 | 01-login | parse | ok | components=4 in_tokens=543 out_tokens=255
2026-04-17T00:18:05+00:00 | 01-login | compose | start | components=4
2026-04-17T00:18:05+00:00 | 01-login | compose | ok | elements=8 script_chars=4076 warnings=7
2026-04-17T00:18:05+00:00 | 01-login | render | start | 
2026-04-17T00:18:05+00:00 | 01-login | render | fail | errors=0 kinds=[]
2026-04-17T00:18:05+00:00 | 02-profile-settings | parse | start | len=89
2026-04-17T00:18:07+00:00 | 02-profile-settings | parse | ok | components=4 in_tokens=548 out_tokens=293
2026-04-17T00:18:07+00:00 | 02-profile-settings | compose | start | components=4
2026-04-17T00:18:07+00:00 | 02-profile-settings | compose | ok | elements=14 script_chars=4921 warnings=13
2026-04-17T00:18:07+00:00 | 02-profile-settings | render | start | 
2026-04-17T00:18:07+00:00 | 02-profile-settings | render | fail | errors=0 kinds=[]
2026-04-17T00:18:07+00:00 | 03-meme-feed | parse | start | len=56
2026-04-17T00:18:10+00:00 | 03-meme-feed | parse | ok | components=6 in_tokens=543 out_tokens=551
2026-04-17T00:18:10+00:00 | 03-meme-feed | compose | start | components=6
2026-04-17T00:18:10+00:00 | 03-meme-feed | compose | ok | elements=27 script_chars=8185 warnings=26
2026-04-17T00:18:10+00:00 | 03-meme-feed | render | start | 
2026-04-17T00:18:10+00:00 | 03-meme-feed | render | fail | errors=0 kinds=[]
2026-04-17T00:18:10+00:00 | 04-dashboard | parse | start | len=69
2026-04-17T00:18:13+00:00 | 04-dashboard | parse | ok | components=4 in_tokens=542 out_tokens=415
2026-04-17T00:18:13+00:00 | 04-dashboard | compose | start | components=4
2026-04-17T00:18:13+00:00 | 04-dashboard | compose | ok | elements=14 script_chars=4919 warnings=13
2026-04-17T00:18:13+00:00 | 04-dashboard | render | start | 
2026-04-17T00:18:13+00:00 | 04-dashboard | render | fail | errors=0 kinds=[]
2026-04-17T00:18:13+00:00 | 05-paywall | parse | start | len=59
2026-04-17T00:18:18+00:00 | 05-paywall | parse | ok | components=7 in_tokens=542 out_tokens=982
2026-04-17T00:18:18+00:00 | 05-paywall | compose | start | components=7
