2026-04-17T05:19:48+00:00 | _ | setup | ok | system_prompt_chars=4781 db=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-17T05:19:48+00:00 | 01-login | parse | start | len=57
2026-04-17T05:19:50+00:00 | 01-login | parse | ok | components=5 in_tokens=1473 out_tokens=295
2026-04-17T05:19:50+00:00 | 01-login | compose | start | components=5
2026-04-17T05:19:50+00:00 | 01-login | compose | ok | elements=15 script_chars=10720 warnings=9
2026-04-17T05:19:50+00:00 | 01-login | render | start | 
2026-04-17T05:19:50+00:00 | 01-login | render | fail | errors=0 kinds=[]
2026-04-17T05:19:50+00:00 | 02-profile-settings | parse | start | len=89
2026-04-17T05:19:53+00:00 | 02-profile-settings | parse | ok | components=4 in_tokens=1478 out_tokens=353
2026-04-17T05:19:53+00:00 | 02-profile-settings | compose | start | components=4
2026-04-17T05:19:53+00:00 | 02-profile-settings | compose | ok | elements=19 script_chars=12453 warnings=14
2026-04-17T05:19:53+00:00 | 02-profile-settings | render | start | 
2026-04-17T05:19:53+00:00 | 02-profile-settings | render | fail | errors=0 kinds=[]
2026-04-17T05:19:53+00:00 | 03-meme-feed | parse | start | len=56
2026-04-17T05:19:57+00:00 | 03-meme-feed | parse | ok | components=2 in_tokens=1473 out_tokens=803
2026-04-17T05:19:57+00:00 | 03-meme-feed | compose | start | components=2
2026-04-17T05:19:57+00:00 | 03-meme-feed | compose | ok | elements=24 script_chars=13934 warnings=23
2026-04-17T05:19:57+00:00 | 03-meme-feed | render | start | 
2026-04-17T05:20:35+00:00 | 03-meme-feed | render | fail | errors=0 kinds=[]
2026-04-17T05:20:35+00:00 | 04-dashboard | parse | start | len=69
2026-04-17T05:20:40+00:00 | 04-dashboard | parse | ok | components=3 in_tokens=1472 out_tokens=673
2026-04-17T05:20:40+00:00 | 04-dashboard | compose | start | components=3
2026-04-17T05:20:40+00:00 | 04-dashboard | compose | ok | elements=37 script_chars=18466 warnings=32
2026-04-17T05:20:40+00:00 | 04-dashboard | render | start | 
2026-04-17T05:20:40+00:00 | 04-dashboard | render | fail | errors=0 kinds=[]
2026-04-17T05:20:40+00:00 | 05-paywall | parse | start | len=59
2026-04-17T05:20:45+00:00 | 05-paywall | parse | ok | components=6 in_tokens=1472 out_tokens=994
2026-04-17T05:20:45+00:00 | 05-paywall | compose | start | components=6
2026-04-17T05:20:45+00:00 | 05-paywall | compose | ok | elements=50 script_chars=22976 warnings=48
2026-04-17T05:20:45+00:00 | 05-paywall | render | start | 
2026-04-17T05:20:46+00:00 | 05-paywall | render | fail | errors=0 kinds=[]
2026-04-17T05:20:46+00:00 | 06-spa-minimal | parse | start | len=50
2026-04-17T05:20:49+00:00 | 06-spa-minimal | parse | ok | components=5 in_tokens=1470 out_tokens=472
2026-04-17T05:20:49+00:00 | 06-spa-minimal | compose | start | components=5
2026-04-17T05:20:49+00:00 | 06-spa-minimal | compose | ok | elements=21 script_chars=11538 warnings=20
