2026-04-17T05:33:37+00:00 | _ | setup | ok | system_prompt_chars=4781 db=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-17T05:33:37+00:00 | 01-login | parse | start | len=57
2026-04-17T05:33:40+00:00 | 01-login | parse | ok | components=5 in_tokens=1473 out_tokens=333
2026-04-17T05:33:40+00:00 | 01-login | compose | start | components=5
2026-04-17T05:33:40+00:00 | 01-login | compose | ok | elements=16 script_chars=11202 warnings=10
2026-04-17T05:33:40+00:00 | 01-login | render | start | 
2026-04-17T05:33:40+00:00 | 01-login | render | fail | errors=0 kinds=[]
2026-04-17T05:33:40+00:00 | 02-profile-settings | parse | start | len=89
2026-04-17T05:33:42+00:00 | 02-profile-settings | parse | ok | components=4 in_tokens=1478 out_tokens=378
2026-04-17T05:33:42+00:00 | 02-profile-settings | compose | start | components=4
2026-04-17T05:33:42+00:00 | 02-profile-settings | compose | ok | elements=23 script_chars=14311 warnings=14
2026-04-17T05:33:42+00:00 | 02-profile-settings | render | start | 
2026-04-17T05:33:42+00:00 | 02-profile-settings | render | fail | errors=0 kinds=[]
2026-04-17T05:33:42+00:00 | 03-meme-feed | parse | start | len=56
2026-04-17T05:33:45+00:00 | 03-meme-feed | parse | ok | components=2 in_tokens=1473 out_tokens=571
2026-04-17T05:33:45+00:00 | 03-meme-feed | compose | start | components=2
2026-04-17T05:33:45+00:00 | 03-meme-feed | compose | ok | elements=19 script_chars=11884 warnings=18
2026-04-17T05:33:45+00:00 | 03-meme-feed | render | start | 
2026-04-17T05:33:47+00:00 | 03-meme-feed | render | fail | errors=0 kinds=[]
2026-04-17T05:33:47+00:00 | 04-dashboard | parse | start | len=69
2026-04-17T05:33:52+00:00 | 04-dashboard | parse | ok | components=4 in_tokens=1472 out_tokens=729
2026-04-17T05:33:52+00:00 | 04-dashboard | compose | start | components=4
2026-04-17T05:33:52+00:00 | 04-dashboard | compose | ok | elements=38 script_chars=20092 warnings=33
2026-04-17T05:33:52+00:00 | 04-dashboard | render | start | 
2026-04-17T05:33:52+00:00 | 04-dashboard | render | fail | errors=0 kinds=[]
2026-04-17T05:33:52+00:00 | 05-paywall | parse | start | len=59
2026-04-17T05:33:57+00:00 | 05-paywall | parse | ok | components=6 in_tokens=1472 out_tokens=987
2026-04-17T05:33:57+00:00 | 05-paywall | compose | start | components=6
2026-04-17T05:33:57+00:00 | 05-paywall | compose | ok | elements=50 script_chars=23342 warnings=48
2026-04-17T05:33:57+00:00 | 05-paywall | render | start | 
2026-04-17T05:33:57+00:00 | 05-paywall | render | fail | errors=0 kinds=[]
2026-04-17T05:33:57+00:00 | 06-spa-minimal | parse | start | len=50
