2026-04-17T16:37:44+00:00 | _ | setup | ok | DD_ENABLE_PLAN_THEN_FILL=1 db=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-17T16:37:49+00:00 | 01-login | plan_fill_compose | ok | components=3 elements=19 retried=False
2026-04-17T16:37:49+00:00 | 01-login | render | start | 
2026-04-17T16:37:49+00:00 | 01-login | render | ok | errors=1
2026-04-17T16:37:49+00:00 | 01-login | walk | start | 
2026-04-17T16:37:49+00:00 | 01-login | walk | ok | eids=17
2026-04-17T16:37:56+00:00 | 02-profile-settings | plan_fill_compose | ok | components=4 elements=30 retried=False
2026-04-17T16:37:56+00:00 | 02-profile-settings | render | start | 
2026-04-17T16:37:56+00:00 | 02-profile-settings | render | ok | errors=0
2026-04-17T16:37:56+00:00 | 02-profile-settings | walk | start | 
2026-04-17T16:37:56+00:00 | 02-profile-settings | walk | ok | eids=30
2026-04-17T16:38:05+00:00 | 03-meme-feed | plan_fill_compose | ok | components=2 elements=49 retried=False
2026-04-17T16:38:05+00:00 | 03-meme-feed | render | start | 
2026-04-17T16:38:06+00:00 | 03-meme-feed | render | ok | errors=0
2026-04-17T16:38:06+00:00 | 03-meme-feed | walk | start | 
2026-04-17T16:38:06+00:00 | 03-meme-feed | walk | ok | eids=49
2026-04-17T16:38:15+00:00 | 04-dashboard | plan_fill_compose | ok | components=3 elements=44 retried=False
2026-04-17T16:38:15+00:00 | 04-dashboard | render | start | 
2026-04-17T16:38:15+00:00 | 04-dashboard | render | ok | errors=0
2026-04-17T16:38:15+00:00 | 04-dashboard | walk | start | 
2026-04-17T16:38:15+00:00 | 04-dashboard | walk | ok | eids=44
2026-04-17T16:38:34+00:00 | 05-paywall | plan | fail | KIND_PLAN_INVALID: fill drift after retry: missing=['header (expected 1, got 0)', 'icon_button (expected 1, got 0)', 'text (expected 8, got 0)', 'heading (expected 2, got 0)', 'list (expected 2, got 0)', 'card (expected 4, got 0)', 'list_item (expected 4, got 0)', 'icon (expected 1, got 0)', 'button (expected 1, got 0)', 'avatar (expected 1, got 0)'] undercount=[]
2026-04-17T16:38:46+00:00 | 06-spa-minimal | plan_fill_compose | ok | components=5 elements=37 retried=False
2026-04-17T16:38:46+00:00 | 06-spa-minimal | render | start | 
2026-04-17T16:38:46+00:00 | 06-spa-minimal | render | ok | errors=1
2026-04-17T16:38:46+00:00 | 06-spa-minimal | walk | start | 
2026-04-17T16:38:46+00:00 | 06-spa-minimal | walk | ok | eids=36
2026-04-17T16:38:54+00:00 | 07-search | plan_fill_compose | ok | components=4 elements=33 retried=False
2026-04-17T16:38:54+00:00 | 07-search | render | start | 
2026-04-17T16:38:54+00:00 | 07-search | render | ok | errors=0
2026-04-17T16:38:54+00:00 | 07-search | walk | start | 
2026-04-17T16:38:54+00:00 | 07-search | walk | ok | eids=33
2026-04-17T16:39:00+00:00 | 08-explicit-structure | plan_fill_compose | ok | components=3 elements=14 retried=False
2026-04-17T16:39:00+00:00 | 08-explicit-structure | render | start | 
2026-04-17T16:39:00+00:00 | 08-explicit-structure | render | ok | errors=0
2026-04-17T16:39:00+00:00 | 08-explicit-structure | walk | start | 
2026-04-17T16:39:00+00:00 | 08-explicit-structure | walk | ok | eids=14
2026-04-17T16:39:07+00:00 | 09-drawer-nav | plan_fill_compose | ok | components=1 elements=27 retried=False
2026-04-17T16:39:07+00:00 | 09-drawer-nav | render | start | 
2026-04-17T16:39:07+00:00 | 09-drawer-nav | render | ok | errors=0
2026-04-17T16:39:07+00:00 | 09-drawer-nav | walk | start | 
2026-04-17T16:39:07+00:00 | 09-drawer-nav | walk | ok | eids=27
2026-04-17T16:39:12+00:00 | 10-onboarding-carousel | plan_fill_compose | ok | components=3 elements=17 retried=False
2026-04-17T16:39:12+00:00 | 10-onboarding-carousel | render | start | 
2026-04-17T16:39:12+00:00 | 10-onboarding-carousel | render | ok | errors=0
2026-04-17T16:39:12+00:00 | 10-onboarding-carousel | walk | start | 
2026-04-17T16:39:12+00:00 | 10-onboarding-carousel | walk | ok | eids=17
2026-04-17T16:39:21+00:00 | 11-vague | plan_fill_compose | ok | components=4 elements=23 retried=False
2026-04-17T16:39:21+00:00 | 11-vague | render | start | 
2026-04-17T16:39:22+00:00 | 11-vague | render | ok | errors=0
2026-04-17T16:39:22+00:00 | 11-vague | walk | start | 
2026-04-17T16:39:22+00:00 | 11-vague | walk | ok | eids=23
2026-04-17T16:39:32+00:00 | 12-round-trip-test | plan_fill_compose | ok | components=4 elements=34 retried=False
2026-04-17T16:39:32+00:00 | 12-round-trip-test | render | start | 
2026-04-17T16:39:32+00:00 | 12-round-trip-test | render | ok | errors=0
2026-04-17T16:39:32+00:00 | 12-round-trip-test | walk | start | 
2026-04-17T16:39:32+00:00 | 12-round-trip-test | walk | ok | eids=34
2026-04-17T16:39:32+00:00 | _ | done | ok | render_ok=11/12 refused=0 plan_invalid=1 fill_retried=0 elapsed=108.8s
