2026-04-16T15:59:27 | all | run | start | 
2026-04-16T15:59:27 | all | screens | ok | 10 screens
2026-04-16T15:59:27 | 158 | load | start | 
2026-04-16T15:59:27 | 158 | load | ok | 267 nodes
2026-04-16T15:59:27 | 158 | solve | start | 
2026-04-16T15:59:27 | 158 | solve | ok | 1068 vars; 0 dropped
2026-04-16T15:59:27 | 158 | metrics | ok | mean_iou=0.1992 al_mean=0.3062 (n_al=108) non_al_mean=0.0663 local_al=0.9907 local_nonal=0.3060 gt95=36 skipped_invisible=65
2026-04-16T15:59:27 | 149 | load | start | 
2026-04-16T15:59:27 | 149 | load | ok | 219 nodes
2026-04-16T15:59:27 | 149 | solve | start | 
2026-04-16T15:59:27 | 149 | solve | ok | 876 vars; 0 dropped
2026-04-16T15:59:27 | 149 | metrics | ok | mean_iou=0.2696 al_mean=0.4368 (n_al=87) non_al_mean=0.0687 local_al=0.9885 local_nonal=0.3250 gt95=43 skipped_invisible=55
2026-04-16T15:59:27 | 185 | load | start | 
2026-04-16T15:59:27 | 185 | load | ok | 203 nodes
2026-04-16T15:59:27 | 185 | solve | start | 
2026-04-16T15:59:27 | 185 | solve | ok | 812 vars; 0 dropped
2026-04-16T15:59:27 | 185 | metrics | ok | mean_iou=0.0493 al_mean=0.0098 (n_al=55) non_al_mean=0.0629 local_al=0.9900 local_nonal=0.3557 gt95=6 skipped_invisible=57
2026-04-16T15:59:27 | 236 | load | start | 
2026-04-16T15:59:28 | 236 | load | ok | 415 nodes
2026-04-16T15:59:28 | 236 | solve | start | 
2026-04-16T15:59:28 | 236 | solve | ok | 1660 vars; 0 dropped
2026-04-16T15:59:28 | 236 | metrics | ok | mean_iou=0.0383 al_mean=0.0372 (n_al=122) non_al_mean=0.0345 local_al=0.8479 local_nonal=0.3620 gt95=7 skipped_invisible=72
2026-04-16T15:59:28 | 219 | load | start | 
2026-04-16T15:59:28 | 219 | load | ok | 323 nodes
2026-04-16T15:59:28 | 219 | solve | start | 
2026-04-16T15:59:28 | 219 | solve | ok | 1292 vars; 0 dropped
2026-04-16T15:59:28 | 219 | metrics | ok | mean_iou=0.0521 al_mean=0.0380 (n_al=118) non_al_mean=0.0575 local_al=0.8428 local_nonal=0.3492 gt95=7 skipped_invisible=73
2026-04-16T15:59:28 | 228 | load | start | 
2026-04-16T15:59:28 | 228 | load | ok | 322 nodes
2026-04-16T15:59:28 | 228 | solve | start | 
2026-04-16T15:59:28 | 228 | solve | ok | 1288 vars; 0 dropped
2026-04-16T15:59:28 | 228 | metrics | ok | mean_iou=0.0565 al_mean=0.0587 (n_al=95) non_al_mean=0.0490 local_al=0.9942 local_nonal=0.3158 gt95=7 skipped_invisible=71
2026-04-16T15:59:28 | 204 | load | start | 
2026-04-16T15:59:28 | 204 | load | ok | 322 nodes
2026-04-16T15:59:28 | 204 | solve | start | 
2026-04-16T15:59:28 | 204 | solve | ok | 1288 vars; 0 dropped
2026-04-16T15:59:28 | 204 | metrics | ok | mean_iou=0.0456 al_mean=0.0284 (n_al=84) non_al_mean=0.0489 local_al=0.9934 local_nonal=0.2837 gt95=7 skipped_invisible=84
2026-04-16T15:59:28 | 175 | load | start | 
2026-04-16T15:59:28 | 175 | load | ok | 445 nodes
2026-04-16T15:59:28 | 175 | solve | start | 
2026-04-16T15:59:28 | 175 | solve | ok | 1780 vars; 0 dropped
2026-04-16T15:59:28 | 175 | metrics | ok | mean_iou=0.1166 al_mean=0.2356 (n_al=140) non_al_mean=0.0284 local_al=0.9194 local_nonal=0.2218 gt95=36 skipped_invisible=105
2026-04-16T15:59:28 | 134 | load | start | 
2026-04-16T15:59:28 | 134 | load | ok | 445 nodes
2026-04-16T15:59:28 | 134 | solve | start | 
2026-04-16T15:59:28 | 134 | solve | ok | 1780 vars; 0 dropped
2026-04-16T15:59:28 | 134 | metrics | ok | mean_iou=0.1172 al_mean=0.2052 (n_al=159) non_al_mean=0.0321 local_al=0.8959 local_nonal=0.2506 gt95=36 skipped_invisible=110
2026-04-16T15:59:28 | 309 | load | start | 
2026-04-16T15:59:28 | 309 | load | ok | 549 nodes
2026-04-16T15:59:28 | 309 | solve | start | 
2026-04-16T15:59:29 | 309 | solve | ok | 2196 vars; 0 dropped
2026-04-16T15:59:29 | 309 | metrics | ok | mean_iou=0.0992 al_mean=0.1648 (n_al=201) non_al_mean=0.0305 local_al=0.8458 local_nonal=0.3160 gt95=36 skipped_invisible=142
2026-04-16T15:59:29 | all | histogram | ok | /Users/mattpacione/declarative-build/experiments/B-solver/iou_histogram.png
2026-04-16T15:59:29 | all | run | ok | mean_iou=0.0979 N=2676
