screen_id,node_id,figma_node_id,node_type,gt_x,gt_y,gt_w,gt_h,rec_x,rec_y,rec_w,rec_h,iou,al_reachable,local_iou,visible
158,12025,5749:84770,FRAME,6148.0,15890.0,834.0,1194.0,6148.0,15890.0,834.0,1194.0,1.000000,0,,1
158,12026,5749:84771,FRAME,6205.0,16154.0,720.0,740.0,6205.0,16117.0,720.0,740.0,0.904762,0,0.904762,1
158,12037,5749:84778,FRAME,6417.0,16967.0,296.0,60.0,6417.0,15890.0,296.0,60.0,0.000000,0,0.000000,1
158,12080,5749:84785,RECTANGLE,6148.0,16029.0,834.0,1055.0,6148.0,15890.0,834.0,1055.0,0.767169,0,0.767169,1
158,12081,5749:84786,FRAME,6353.0,16695.0,428.0,332.0,6148.0,16752.0,428.0,332.0,0.275164,0,0.275164,1
158,12128,5749:84804,INSTANCE,6148.0,15918.0,834.0,111.0,6148.0,16973.0,834.0,111.0,0.000000,0,0.000000,1
158,12251,5749:84805,INSTANCE,6148.0,17050.0,834.0,34.0,6148.0,15890.0,834.0,34.0,0.000000,0,0.000000,1
158,12253,5749:84806,INSTANCE,6148.0,15890.0,834.0,75.0,6148.0,15890.0,834.0,75.0,1.000000,0,1.000000,1
158,12279,5749:84807,INSTANCE,6148.0,15890.0,834.0,24.0,6148.0,15890.0,834.0,24.0,1.000000,0,1.000000,1
158,12027,5749:84772,FRAME,6205.0,16154.0,720.0,20.0,6205.0,16117.0,720.0,20.0,0.000000,1,1.000000,1
158,12038,5749:84779,INSTANCE,6421.0,16971.0,48.0,52.0,6421.0,15894.0,48.0,52.0,0.000000,1,1.000000,1
158,12082,5749:84787,FRAME,6377.0,16717.0,380.0,40.0,6172.0,16774.0,380.0,40.0,0.000000,1,1.000000,1
158,12129,I5749:84804;5749:84277,FRAME,6148.0,15965.0,536.0,64.0,6148.0,17020.0,536.0,64.0,0.000000,0,1.000000,1
158,12252,I5749:84805;1313:136259,RECTANGLE,6407.0,17071.0,316.0,5.0,6407.0,15919.0,316.0,5.0,0.000000,0,0.000000,1
158,12254,I5749:84806;5749:93085,FRAME,6545.0,15890.0,40.0,24.0,6545.0,15890.0,40.0,24.0,1.000000,1,1.000000,1
158,12280,I5749:84807;5749:93105,FRAME,6163.0,15893.0,95.0,18.0,6163.0,15893.0,95.0,18.0,1.000000,1,1.000000,1
158,12036,5749:84777,FRAME,6205.0,16174.0,720.0,720.0,6205.0,16137.0,720.0,720.0,0.902246,1,1.000000,1
158,12046,5749:84780,INSTANCE,6469.0,16971.0,48.0,52.0,6469.0,15894.0,48.0,52.0,0.000000,1,1.000000,1
158,12107,5749:84792,FRAME,6377.0,16779.0,380.0,150.0,6172.0,16836.0,380.0,150.0,0.166539,1,1.000000,1
158,12161,I5749:84804;5749:84284,FRAME,6474.5,15965.0,182.0,64.0,6474.0,17020.0,182.0,64.0,0.000000,0,0.994521,1
158,12258,I5749:84806;5749:93089,FRAME,6152.0,15917.0,826.0,36.0,6152.0,15917.0,826.0,36.0,1.000000,1,1.000000,1
158,12283,I5749:84807;5749:93108,FRAME,6864.94677734375,15890.0,102.05338287353516,24.0,6864.946617126465,15890.0,102.05338287353516,24.0,0.999997,1,0.999997,1
158,12053,5749:84781,INSTANCE,6517.0,16971.0,48.0,52.0,6517.0,15894.0,48.0,52.0,0.000000,1,1.000000,1
158,12120,5749:84803,INSTANCE,6377.0,16951.0,380.0,52.0,6172.0,17008.0,380.0,52.0,0.000000,1,1.000000,1
158,12205,I5749:84804;5749:84291,FRAME,6852.0,15965.0,130.0,64.0,6852.0,16996.5,130.0,64.0,0.000000,0,0.462857,1
158,12060,5749:84782,INSTANCE,6565.0,16971.0,48.0,52.0,6565.0,15894.0,48.0,52.0,0.000000,1,1.000000,1
158,12066,5749:84783,INSTANCE,6613.0,16971.0,48.0,52.0,6613.0,15894.0,48.0,52.0,0.000000,1,1.000000,1
158,12072,5749:84784,INSTANCE,6661.0,16971.0,48.0,52.0,6661.0,15894.0,48.0,52.0,0.000000,1,1.000000,1
158,12028,5749:84773,TEXT,6205.0,16156.5,78.0,15.0,6205.0,16119.5,78.0,15.0,0.000000,1,1.000000,1
158,12039,I5749:84779;5749:82458,INSTANCE,6431.0,16987.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
158,12047,I5749:84780;5749:82458,INSTANCE,6479.0,16987.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
158,12054,I5749:84781;5749:82458,INSTANCE,6527.0,16987.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
158,12061,I5749:84782;5749:82458,INSTANCE,6575.0,16987.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
158,12067,I5749:84783;5749:82458,INSTANCE,6623.0,16987.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
158,12073,I5749:84784;5749:82458,INSTANCE,6671.0,16987.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
158,12083,5749:84788,INSTANCE,6377.0,16717.0,40.0,40.0,6172.0,16774.0,40.0,40.0,0.000000,1,1.000000,1
158,12108,5749:84793,FRAME,6377.0,16779.0,183.0,150.0,6172.0,16836.0,183.0,150.0,0.000000,1,1.000000,1
158,12121,I5749:84803;312:9498,INSTANCE,6387.0,16959.0,24.0,24.0,0.0,0.0,24.0,24.0,0.000000,1,0.000000,0
158,12130,I5749:84804;5749:84278,INSTANCE,6163.0,15977.0,40.0,40.0,-10.0,-10.0,40.0,40.0,0.000000,1,0.000000,0
158,12162,I5749:84804;5749:84285,FRAME,6455.0,15990.5,43.0,13.0,0.0,0.0,43.0,13.0,0.000000,1,0.000000,0
158,12206,I5749:84804;5749:84292,INSTANCE,6817.999998950927,15984.999998950927,24.0,24.0,0.0,0.0,24.0,24.0,0.000000,1,0.000000,0
158,12255,I5749:84806;5749:93086,ELLIPSE,6554.5,15899.5,5.0,5.0,6554.5,15899.5,5.0,5.0,1.000000,1,1.000000,1
158,12259,I5749:84806;5749:93090,FRAME,6168.0,15924.0,207.0,22.0,6168.0,15924.0,207.0,22.0,1.000000,1,1.000000,1
158,12281,I5749:84807;5749:93106,TEXT,6163.0,15895.0,26.0,14.0,6163.0,15895.0,26.0,14.0,1.000000,1,1.000000,1
158,12284,I5749:84807;5749:93109,VECTOR,6864.94677734375,15897.0,16.5,10.0,6864.946617126465,15897.0,16.5,10.0,0.999981,1,1.000000,1
158,12029,5749:84774,FRAME,6694.0,16154.0,231.0,20.0,6694.0,16117.0,231.0,20.0,0.000000,1,1.000000,1
158,12041,I5749:84779;5749:82459,TEXT,6435.0,16991.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
158,12049,I5749:84780;5749:82459,TEXT,6483.0,16991.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
158,12056,I5749:84781;5749:82459,TEXT,6531.0,16991.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
158,12063,I5749:84782;5749:82459,TEXT,6579.0,16991.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
158,12069,I5749:84783;5749:82459,TEXT,6627.0,16991.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
158,12075,I5749:84784;5749:82459,TEXT,6675.0,16991.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
158,12089,5749:84789,TEXT,6431.0,16720.0,218.0,34.0,6226.0,16777.0,218.0,34.0,0.000000,1,1.000000,1
158,12114,5749:84798,FRAME,6574.0,16779.0,183.0,150.0,6369.0,16836.0,183.0,150.0,0.000000,1,1.000000,1
158,12125,I5749:84803;312:9499,TEXT,6540.0,16971.0,54.0,12.0,6335.0,17028.0,54.0,12.0,0.000000,1,1.000000,1
158,12137,I5749:84804;5749:84279,INSTANCE,6163.0,15985.0,104.0,24.0,6163.0,17040.0,104.0,24.0,0.000000,1,1.000000,1
158,12165,I5749:84804;5749:84288,INSTANCE,6488.0,15977.0,155.0,40.0,6487.5,17032.0,155.0,40.0,0.000000,1,1.000000,1
158,12208,I5749:84804;5749:84293,INSTANCE,6826.0,15977.0,40.0,40.0,6826.0,17008.5,40.0,40.0,0.000000,1,1.000000,1
158,12256,I5749:84806;5749:93087,ELLIPSE,6562.5,15899.5,5.0,5.0,6562.5,15899.5,5.0,5.0,1.000000,1,1.000000,1
158,12266,I5749:84806;5749:93094,FRAME,6375.0,15917.0,380.0,36.0,6375.0,15917.0,380.0,36.0,1.000000,1,1.000000,1
158,12282,I5749:84807;5749:93107,TEXT,6197.0,15895.0,61.0,14.0,6197.0,15895.0,61.0,14.0,1.000000,1,1.000000,1
158,12285,I5749:84807;5749:93110,VECTOR,6885.44677734375,15897.0,14.053380012512207,9.999975204467773,6885.446617126465,15897.000012397766,14.053380012512207,9.999975204467773,0.999975,1,0.999998,1
158,12042,I5749:84779;5749:82460,INSTANCE,6435.0,16987.0,20.0,20.0,6435.0,15910.0,20.0,20.0,0.000000,1,1.000000,1
158,12050,I5749:84780;5749:82460,INSTANCE,6483.0,16987.0,20.0,20.0,6483.0,15910.0,20.0,20.0,0.000000,1,1.000000,1
158,12057,I5749:84781;5749:82460,INSTANCE,6531.0,16987.0,20.0,20.0,6531.0,15910.0,20.0,20.0,0.000000,1,1.000000,1
158,12064,I5749:84782;5749:82460,INSTANCE,6579.0,16987.0,20.0,20.0,6579.0,15910.0,20.0,20.0,0.000000,1,1.000000,1
158,12070,I5749:84783;5749:82460,INSTANCE,6627.0,16987.0,20.0,20.0,6627.0,15910.0,20.0,20.0,0.000000,1,1.000000,1
