scope,anchor_h,anchor_v,count,pct,cum_pct
ALL,scale,scale,20535,54.21,54.21
ALL,stretch,stretch,2932,7.74,61.96
ALL,center,center,2270,5.99,67.95
ALL,leading,top,1852,4.89,72.84
ALL,center,top,1613,4.26,77.10
ALL,stretch,scale,1532,4.04,81.14
ALL,center,stretch,1011,2.67,83.81
ALL,center,bottom,1010,2.67,86.48
ALL,leading,stretch,997,2.63,89.11
ALL,stretch,bottom,687,1.81,90.92
ALL,trailing,center,564,1.49,92.41
ALL,stretch,center,510,1.35,93.76
ALL,leading,center,404,1.07,94.83
ALL,leading,bottom,395,1.04,95.87
ALL,scale,stretch,345,0.91,96.78
ALL,trailing,bottom,314,0.83,97.61
ALL,trailing,top,280,0.74,98.35
ALL,stretch,top,245,0.65,98.99
ALL,scale,center,204,0.54,99.53
ALL,trailing,stretch,105,0.28,99.81
ALL,scale,bottom,72,0.19,100.00
LLM_EMITTED,leading,top,1652,19.55,19.55
LLM_EMITTED,center,top,1475,17.46,37.01
LLM_EMITTED,leading,stretch,988,11.69,48.70
LLM_EMITTED,stretch,stretch,903,10.69,59.39
LLM_EMITTED,center,bottom,524,6.20,65.59
LLM_EMITTED,center,center,486,5.75,71.35
LLM_EMITTED,stretch,bottom,453,5.36,76.71
LLM_EMITTED,leading,bottom,353,4.18,80.89
LLM_EMITTED,trailing,top,280,3.31,84.20
LLM_EMITTED,trailing,bottom,278,3.29,87.49
LLM_EMITTED,leading,center,266,3.15,90.64
LLM_EMITTED,stretch,top,206,2.44,93.08
LLM_EMITTED,scale,scale,170,2.01,95.09
LLM_EMITTED,trailing,center,156,1.85,96.93
LLM_EMITTED,stretch,center,102,1.21,98.14
LLM_EMITTED,trailing,stretch,96,1.14,99.28
LLM_EMITTED,center,stretch,54,0.64,99.92
LLM_EMITTED,stretch,scale,7,0.08,100.00
