scope,rank,anchor_h,offset_h,anchor_v,offset_v,count,pct,cum_pct
ALL,1,scale,2,scale,4,3590,9.48,9.48
ALL,2,scale,non-bucket,scale,non-bucket,3237,8.55,18.02
ALL,3,scale,2,scale,2,3016,7.96,25.99
ALL,4,stretch,0,stretch,0,2278,6.01,32.00
ALL,5,scale,2,scale,non-bucket,1562,4.12,36.12
ALL,6,center,0,center,0,1534,4.05,40.17
ALL,7,scale,non-bucket,scale,4,1129,2.98,43.16
ALL,8,scale,4,scale,8,1105,2.92,46.07
ALL,9,scale,-1,scale,-1,754,1.99,48.06
ALL,10,scale,non-bucket,scale,2,661,1.75,49.81
ALL,11,center,0,top,non-bucket,594,1.57,51.38
ALL,12,scale,4,scale,non-bucket,529,1.40,52.77
ALL,13,leading,0,top,non-bucket,485,1.28,54.05
ALL,14,center,0,bottom,0,476,1.26,55.31
ALL,15,stretch,0,bottom,0,425,1.12,56.43
ALL,16,center,-4,stretch,0,408,1.08,57.51
ALL,17,scale,12,scale,non-bucket,393,1.04,58.55
ALL,18,stretch,0,scale,2,393,1.04,59.58
ALL,19,leading,non-bucket,stretch,0,386,1.02,60.60
ALL,20,stretch,0,scale,0,362,0.96,61.56
ALL,21,scale,6,scale,non-bucket,337,0.89,62.45
ALL,22,scale,8,scale,4,291,0.77,63.22
ALL,23,center,0,stretch,0,276,0.73,63.95
ALL,24,scale,non-bucket,stretch,0,273,0.72,64.67
ALL,25,stretch,0,scale,non-bucket,270,0.71,65.38
ALL,26,stretch,8,stretch,8,266,0.70,66.08
ALL,27,leading,0,top,0,266,0.70,66.78
ALL,28,leading,0,bottom,0,266,0.70,67.49
ALL,29,trailing,0,top,0,266,0.70,68.19
ALL,30,trailing,0,bottom,0,266,0.70,68.89
ALL,31,center,negative-non-bucket,top,non-bucket,263,0.69,69.59
ALL,32,leading,non-bucket,top,non-bucket,249,0.66,70.24
ALL,33,stretch,0,scale,1,246,0.65,70.89
ALL,34,stretch,0,bottom,non-bucket,244,0.64,71.54
ALL,35,scale,6,scale,1,236,0.62,72.16
ALL,36,stretch,0,center,negative-non-bucket,234,0.62,72.78
ALL,37,scale,4,scale,4,222,0.59,73.36
ALL,38,scale,1,scale,non-bucket,216,0.57,73.93
ALL,39,stretch,non-bucket,stretch,0,216,0.57,74.50
ALL,40,center,0,bottom,8,213,0.56,75.07
ALL,41,stretch,0,top,0,213,0.56,75.63
