2026-04-17T00:49:56Z | main | START | DB=/Users/mattpacione/declarative-build/Dank-EXP-02.declarative.db
2026-04-17T00:49:56Z | load | START | loading all app_screen nodes
2026-04-17T00:50:00Z | load | OK | classified 79833 nodes into 14 canonical types; unclassified=38045
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | accordion: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | alert: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | avatar: count=0
2026-04-17T00:50:00Z | analyze | OK | badge: count=66
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | bottom_nav: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | breadcrumbs: count=0
2026-04-17T00:50:00Z | analyze | OK | button: count=8440
2026-04-17T00:50:00Z | analyze | OK | button_group: count=12
2026-04-17T00:50:00Z | analyze | OK | card: count=172
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | checkbox: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | combobox: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | context_menu: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | date_picker: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | dialog: count=0
2026-04-17T00:50:00Z | analyze | OK | drawer: count=135
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | empty_state: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | fab: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | file_upload: count=0
2026-04-17T00:50:00Z | analyze | OK | header: count=204
2026-04-17T00:50:00Z | analyze | OK | heading: count=2608
2026-04-17T00:50:00Z | analyze | OK | icon: count=15965
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | icon_button: count=0
2026-04-17T00:50:00Z | analyze | OK | image: count=816
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | link: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | list: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | list_item: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | menu: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | navigation_row: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | pagination: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | popover: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | radio: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | radio_group: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | search_input: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | segmented_control: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | select: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | sheet: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | skeleton: count=0
2026-04-17T00:50:00Z | analyze | OK | slider: count=51
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | stepper: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | table: count=0
2026-04-17T00:50:00Z | analyze | OK | tabs: count=205
2026-04-17T00:50:00Z | analyze | OK | text: count=9098
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | text_input: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | textarea: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | toast: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | toggle: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | toggle_group: count=0
2026-04-17T00:50:00Z | analyze | INSUFFICIENT | tooltip: count=0
2026-04-17T00:50:00Z | analyze | OK | system_chrome: count=2256 (not in 48-type catalog)
2026-04-17T00:50:00Z | analyze | OK | container: count=1760 (heuristic rule only)
2026-04-17T00:50:00Z | output | OK | per_type_distribution.csv (50 rows)
2026-04-17T00:50:00Z | output | OK | defaults.yaml (48 entries)
2026-04-17T00:50:00Z | main | DONE | sufficient=12/48 types; insufficient=36
